NAC_A,NAC_C,NAC_G,NAC_T,Zcurve9_1.x,Zcurve9_1.y,Zcurve9_1.z,Zcurve9_2.x,Zcurve9_2.y,Zcurve9_2.z,Zcurve9_3.x,Zcurve9_3.y,Zcurve9_3.z,Zcurve12_A.x,Zcurve12_A.y,Zcurve12_A.z,Zcurve12_C.x,Zcurve12_C.y,Zcurve12_C.z,Zcurve12_G.x,Zcurve12_G.y,Zcurve12_G.z,Zcurve12_T.x,Zcurve12_T.y,Zcurve12_T.z
0.25146198830409355,0.21637426900584794,0.26900584795321636,0.2631578947368421,-0.029239766,-0.040935673,0.06432748538011696,0.005847953216374269,-0.029239766,-0.052631579,0.06432748538011696,0.005847953216374269,0.017543859649122806,0.029411764705882353,-0.052941176,-0.041176471,-0.1,0.01764705882352941,0.07647058823529412,0.058823529411764705,0.011764705882352941,0.011764705882352941,0.058823529411764705,-0.035294118,-0.023529412
0.23391812865497075,0.2573099415204678,0.2807017543859649,0.22807017543859648,-0.029239766,-0.099415205,-0.064327485,0.07602339181286549,0.08771929824561403,-0.052631579,-0.01754386,-0.005847953,0.04093567251461988,0.029411764705882353,-0.017647059,0.01764705882352941,0,0.07058823529411765,0.047058823529411764,0.011764705882352941,-0.058823529,-0.070588235,-0.005882353,-0.017647059,-0.064705882
0.1695906432748538,0.29239766081871343,0.3391812865497076,0.19883040935672514,-0.052631579,-0.064327485,-0.076023392,0.1111111111111111,-0.076023392,-0.274853801,-0.040935673,0.06432748538011696,0.08771929824561403,0.07058823529411765,-0.082352941,-0.105882353,-0.035294118,0.023529411764705882,0.023529411764705882,-0.035294118,0.03529411764705882,-0.082352941,0.023529411764705882,-0.058823529,-0.094117647
0.27485380116959063,0.3157894736842105,0.1871345029239766,0.2222222222222222,-0.064327485,0.13450292397660818,0.017543859649122806,-0.099415205,0.04093567251461988,-0.01754386,0.08771929824561403,0.005847953216374269,-0.005847953,-0.005882353,0.029411764705882353,0.0058823529411764705,-0.070588235,0.09411764705882353,0.058823529411764705,0,0.058823529411764705,0.03529411764705882,-0.005882353,-0.005882353,-0.111764706
0.2046783625730994,0.26900584795321636,0.21052631578947367,0.3157894736842105,-0.064327485,-0.040935673,-0.064327485,-0.040935673,0.04093567251461988,-0.005847953,-0.064327485,-0.052631579,0.1111111111111111,-0.011764706,-0.082352941,0.011764705882352941,-0.129411765,0.03529411764705882,0.08235294117647059,0.011764705882352941,-0.011764706,-0.023529412,-0.035294118,0.011764705882352941,-0.035294118
0.08187134502923976,0.3567251461988304,0.28654970760233917,0.27485380116959063,-0.087719298,-0.122807018,-0.029239766,-0.134502924,0.06432748538011696,-0.216374269,-0.040935673,-0.064327485,-0.040935673,-0.035294118,0.023529411764705882,-0.023529412,-0.123529412,-0.064705882,-0.005882353,-0.058823529,-0.035294118,-0.117647059,-0.041176471,-0.041176471,-0.147058824
0.3157894736842105,0.19883040935672514,0.14035087719298245,0.34502923976608185,-0.099415205,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.04093567251461988,0.19298245614035087,-0.005847953,-0.029239766,0.07602339181286549,0.011764705882352941,0.047058823529411764,0.07058823529411765,0.03529411764705882,0.058823529411764705,0.15294117647058825,-0.076470588,-0.029411765,0.01764705882352941,-0.052941176,-0.052941176,0.08823529411764706
0.19883040935672514,0.28654970760233917,0.18128654970760233,0.3333333333333333,-0.052631579,0.06432748538011696,-0.087719298,-0.076023392,0.029239766081871343,0.04093567251461988,-0.111111111,-0.122807018,0.1111111111111111,-0.047058824,0.011764705882352941,0.023529411764705882,-0.111764706,-0.041176471,0.12352941176470589,0.047058823529411764,-0.035294118,-0.023529412,-0.135294118,0.029411764705882353,-0.064705882
0.15204678362573099,0.38596491228070173,0.22807017543859648,0.23391812865497075,-0.087719298,-0.076023392,0.04093567251461988,-0.134502924,0.08771929824561403,-0.14619883,-0.01754386,0.06432748538011696,-0.122807018,-0.035294118,-0.023529412,-0.023529412,-0.123529412,0.07647058823529412,0.041176470588235294,-0.029411765,0.01764705882352941,-0.1,-0.058823529,0.011764705882352941,-0.141176471
0.19298245614035087,0.30994152046783624,0.3333333333333333,0.16374269005847952,0.05263157894736842,0.04093567251461988,-0.052631579,-0.005847953,-0.052631579,-0.157894737,0.005847953216374269,0.017543859649122806,-0.076023392,0.06470588235294118,-0.052941176,-0.111764706,-0.123529412,0.1,-0.029411765,0.052941176470588235,0.01764705882352941,-0.052941176,0.052941176470588235,-0.052941176,-0.088235294
